Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
2021-03-30T19:13:00.353+0200: 14.008: [GC (Allocation Failure) [PSYoungGen: 1700324K->268266K(1770496K)] 2018259K->771544K(3244544K), 0.0613637 secs] [Times: user=0.84 sys=1.19, real=0.06 secs] 
2021-03-30T19:13:02.540+0200: 16.196: [GC (Allocation Failure) [PSYoungGen: 1770474K->412157K(2479616K)] 2273752K->1065402K(3953664K), 0.0545503 secs] [Times: user=0.31 sys=1.72, real=0.06 secs] 
2021-03-30T19:13:05.590+0200: 19.245: [GC (GCLocker Initiated GC) [PSYoungGen: 2479613K->553471K(2620928K)] 3133106K->1473602K(4094976K), 0.0887293 secs] [Times: user=0.47 sys=3.14, real=0.09 secs] 
2021-03-30T19:13:08.368+0200: 22.024: [GC (Allocation Failure) [PSYoungGen: 2620927K->714120K(3317248K)] 3541058K->1886090K(4791296K), 0.1011593 secs] [Times: user=0.61 sys=3.54, real=0.10 secs] 
2021-03-30T19:13:12.811+0200: 26.466: [GC (Allocation Failure) [PSYoungGen: 3272072K->870389K(3428352K)] 4444042K->2399829K(4962304K), 0.1064611 secs] [Times: user=0.62 sys=3.15, real=0.11 secs] 
2021-03-30T19:13:12.917+0200: 26.573: [Full GC (Ergonomics) [PSYoungGen: 870389K->745793K(3428352K)] [ParOldGen: 1529439K->1533885K(3635200K)] 2399829K->2279679K(7063552K), [Metaspace: 50921K->50044K(53248K)], 0.2120900 secs] [Times: user=4.34 sys=1.63, real=0.21 secs] 
2021-03-30T19:13:14.927+0200: 28.582: [GC (Allocation Failure) [PSYoungGen: 3303745K->253019K(4521984K)] 4837631K->2548839K(8157184K), 0.1216078 secs] [Times: user=0.63 sys=4.52, real=0.12 secs] 
2021-03-30T19:13:19.161+0200: 32.816: [GC (Allocation Failure) [PSYoungGen: 3626075K->445651K(4476928K)] 5921895K->2949222K(8112128K), 0.0382786 secs] [Times: user=0.55 sys=0.76, real=0.04 secs] 
2021-03-30T19:13:22.683+0200: 36.339: [GC (Allocation Failure) [PSYoungGen: 3818707K->441330K(5414912K)] 6322278K->3338327K(9050112K), 0.0733554 secs] [Times: user=0.66 sys=1.75, real=0.08 secs] 
2021-03-30T19:13:27.857+0200: 41.513: [GC (Allocation Failure) [PSYoungGen: 4943346K->554771K(5500416K)] 7840343K->3838999K(9135616K), 0.0756799 secs] [Times: user=0.63 sys=2.33, real=0.08 secs] 
2021-03-30T19:13:27.933+0200: 41.589: [Full GC (Ergonomics) [PSYoungGen: 554771K->88642K(5500416K)] [ParOldGen: 3284227K->3634945K(6488064K)] 3838999K->3723588K(11988480K), [Metaspace: 50141K->50141K(53248K)], 0.4345578 secs] [Times: user=13.05 sys=2.47, real=0.43 secs] 
2021-03-30T19:13:33.436+0200: 47.091: [GC (Allocation Failure) [PSYoungGen: 4590658K->606760K(6705664K)] 8225604K->4329681K(13193728K), 0.0853337 secs] [Times: user=0.92 sys=2.34, real=0.08 secs] 
2021-03-30T19:13:40.292+0200: 53.948: [GC (Allocation Failure) [PSYoungGen: 6416424K->786441K(6813696K)] 10139345K->5049495K(13301760K), 0.1070832 secs] [Times: user=1.56 sys=1.88, real=0.11 secs] 
2021-03-30T19:13:46.684+0200: 60.339: [GC (Allocation Failure) [PSYoungGen: 6596105K->1075197K(7653376K)] 10859159K->5754992K(14141440K), 0.1849711 secs] [Times: user=0.69 sys=7.01, real=0.19 secs] 
2021-03-30T19:13:54.289+0200: 67.945: [GC (Allocation Failure) [PSYoungGen: 7653373K->926261K(7968768K)] 12333168K->6545170K(14456832K), 0.1491428 secs] [Times: user=1.13 sys=5.03, real=0.15 secs] 
2021-03-30T19:13:54.438+0200: 68.094: [Full GC (Ergonomics) [PSYoungGen: 926261K->0K(7968768K)] [ParOldGen: 5618908K->4899127K(8477696K)] 6545170K->4899127K(16446464K), [Metaspace: 50483K->50483K(53248K)], 0.3297369 secs] [Times: user=7.38 sys=2.63, real=0.33 secs] 
2021-03-30T19:14:01.793+0200: 75.448: [GC (Allocation Failure) [PSYoungGen: 6578176K->780585K(9252864K)] 11477303K->5679712K(17730560K), 0.0866125 secs] [Times: user=0.57 sys=2.59, real=0.08 secs] 
2021-03-30T19:14:11.207+0200: 84.863: [GC (Allocation Failure) [PSYoungGen: 8636713K->1069332K(9273856K)] 13535840K->6653222K(17751552K), 0.0744396 secs] [Times: user=2.49 sys=0.17, real=0.07 secs] 
2021-03-30T19:14:20.711+0200: 94.367: [GC (Allocation Failure) [PSYoungGen: 8925460K->1501157K(10315776K)] 14509350K->7678033K(18793472K), 0.2421375 secs] [Times: user=1.08 sys=8.88, real=0.25 secs] 
2021-03-30T19:14:30.337+0200: 103.993: [GC (Allocation Failure) [PSYoungGen: 10315749K->1458536K(10758656K)] 16492625K->8965219K(19236352K), 0.1997115 secs] [Times: user=1.83 sys=5.78, real=0.20 secs] 
2021-03-30T19:14:30.537+0200: 104.192: [Full GC (Ergonomics) [PSYoungGen: 1458536K->0K(10758656K)] [ParOldGen: 7506683K->5292273K(9792000K)] 8965219K->5292273K(20550656K), [Metaspace: 50577K->50577K(53248K)], 0.4021842 secs] [Times: user=8.68 sys=2.35, real=0.40 secs] 
2021-03-30T19:14:43.238+0200: 116.893: [GC (Allocation Failure) [PSYoungGen: 8814592K->1008095K(12425728K)] 14106865K->6300376K(22217728K), 0.1209606 secs] [Times: user=0.92 sys=3.85, real=0.12 secs] 
2021-03-30T19:14:55.185+0200: 128.840: [GC (Allocation Failure) [PSYoungGen: 11522015K->1185191K(12511232K)] 16814296K->7354171K(22303232K), 0.0859161 secs] [Times: user=2.88 sys=0.39, real=0.08 secs] 
2021-03-30T19:15:18.576+0200: 152.232: [GC (Allocation Failure) [PSYoungGen: 11699111K->1995238K(13378048K)] 17868091K->8814812K(23170048K), 0.2940593 secs] [Times: user=2.33 sys=9.95, real=0.29 secs] 
2021-03-30T19:15:33.999+0200: 167.654: [GC (Allocation Failure) [PSYoungGen: 13378022K->1295502K(13908480K)] 20197596K->9659818K(23700480K), 0.1981982 secs] [Times: user=2.89 sys=5.29, real=0.20 secs] 
2021-03-30T19:15:34.197+0200: 167.853: [Full GC (Ergonomics) [PSYoungGen: 1295502K->0K(13908480K)] [ParOldGen: 8364315K->3590360K(8948736K)] 9659818K->3590360K(22857216K), [Metaspace: 51080K->51080K(53248K)], 0.3409589 secs] [Times: user=6.14 sys=1.49, real=0.34 secs] 
2021-03-30T19:15:50.503+0200: 184.159: [GC (Allocation Failure) [PSYoungGen: 11382784K->1886595K(15163904K)] 14973144K->5476964K(24112640K), 0.1880646 secs] [Times: user=1.27 sys=6.51, real=0.19 secs] 
2021-03-30T19:16:04.679+0200: 198.334: [GC (Allocation Failure) [PSYoungGen: 14593411K->2608104K(15314944K)] 18183780K->6916946K(24263680K), 0.1306035 secs] [Times: user=3.82 sys=1.29, real=0.13 secs] 
2021-03-30T19:16:18.344+0200: 211.999: [GC (Allocation Failure) [PSYoungGen: 15314920K->3156214K(17215488K)] 19623762K->8789601K(26164224K), 0.3435995 secs] [Times: user=2.26 sys=10.70, real=0.35 secs] 
2021-03-30T19:16:33.665+0200: 227.321: [GC (Allocation Failure) [PSYoungGen: 17115382K->3719139K(17678336K)] 22748769K->11095603K(26627072K), 0.2033188 secs] [Times: user=6.25 sys=2.05, real=0.20 secs] 
2021-03-30T19:16:33.868+0200: 227.524: [Full GC (Ergonomics) [PSYoungGen: 3719139K->0K(17678336K)] [ParOldGen: 7376464K->6229745K(12531200K)] 11095603K->6229745K(30209536K), [Metaspace: 51192K->51192K(55296K)], 0.4435751 secs] [Times: user=9.52 sys=1.76, real=0.44 secs] 
2021-03-30T19:16:56.518+0200: 250.174: [GC (Allocation Failure) [PSYoungGen: 13959168K->1229309K(20610560K)] 20188913K->7459055K(33141760K), 0.1438045 secs] [Times: user=1.01 sys=4.73, real=0.14 secs] 
2021-03-30T19:17:58.928+0200: 312.584: [GC (Allocation Failure) [PSYoungGen: 17261565K->735375K(20802560K)] 23491311K->7306350K(33333760K), 0.0598290 secs] [Times: user=1.71 sys=0.01, real=0.06 secs] 
2021-03-30T19:18:44.736+0200: 358.391: [GC (Allocation Failure) [PSYoungGen: 16767631K->1605859K(21602816K)] 23338606K->8176835K(34134016K), 0.1816764 secs] [Times: user=1.50 sys=5.21, real=0.18 secs] 
2021-03-30T19:19:19.048+0200: 392.704: [GC (Allocation Failure) [PSYoungGen: 19205347K->2650531K(22018560K)] 25776323K->9221507K(34549760K), 0.1116420 secs] [Times: user=4.28 sys=0.00, real=0.11 secs] 
2021-03-30T19:19:46.893+0200: 420.548: [GC (Allocation Failure) [PSYoungGen: 20250019K->3093660K(23434752K)] 26820995K->9664636K(35965952K), 0.3158910 secs] [Times: user=2.67 sys=10.39, real=0.31 secs] 
2021-03-30T19:20:13.446+0200: 447.101: [GC (Allocation Failure) [PSYoungGen: 22046364K->3758695K(23631872K)] 28617340K->10329671K(36163072K), 0.1693327 secs] [Times: user=5.21 sys=1.52, real=0.17 secs] 
2021-03-30T19:20:39.605+0200: 473.260: [GC (Allocation Failure) [PSYoungGen: 22711399K->4376758K(25255424K)] 29282375K->10947734K(37786624K), 0.4544691 secs] [Times: user=2.97 sys=16.07, real=0.45 secs] 
2021-03-30T19:21:03.077+0200: 496.732: [GC (Allocation Failure) [PSYoungGen: 24563382K->5377060K(25786368K)] 31134358K->11948036K(38317568K), 0.1752906 secs] [Times: user=7.02 sys=0.00, real=0.17 secs] 
2021-03-30T19:21:21.679+0200: 515.335: [GC (Allocation Failure) [PSYoungGen: 25563684K->6388219K(27504128K)] 32134660K->13490474K(40035328K), 0.6134072 secs] [Times: user=4.75 sys=21.06, real=0.62 secs] 
2021-03-30T19:21:37.643+0200: 531.298: [GC (Allocation Failure) [PSYoungGen: 27504123K->7587312K(28703232K)] 34606378K->15230202K(41234432K), 0.2628414 secs] [Times: user=10.21 sys=0.07, real=0.27 secs] 
2021-03-30T19:21:51.900+0200: 545.556: [GC (Allocation Failure) [PSYoungGen: 28703216K->8998883K(31164928K)] 36346106K->16721230K(43696128K), 0.8839697 secs] [Times: user=5.81 sys=31.81, real=0.88 secs] 
2021-03-30T19:22:07.682+0200: 561.338: [GC (Allocation Failure) [PSYoungGen: 31164899K->9478613K(32651264K)] 38887246K->17247040K(45182464K), 0.2733138 secs] [Times: user=11.07 sys=0.00, real=0.28 secs] 
2021-03-30T19:22:24.296+0200: 577.952: [GC (Allocation Failure) [PSYoungGen: 31644629K->9342132K(36167168K)] 39413056K->17175119K(48698368K), 0.7226559 secs] [Times: user=6.83 sys=23.63, real=0.72 secs] 
2021-03-30T19:22:40.885+0200: 594.541: [GC (Allocation Failure) [PSYoungGen: 33686196K->9110694K(37176832K)] 41519183K->17088775K(49708032K), 0.2623452 secs] [Times: user=10.60 sys=0.00, real=0.26 secs] 
2021-03-30T19:22:57.746+0200: 611.402: [GC (Allocation Failure) [PSYoungGen: 33454758K->7585972K(41445376K)] 41432839K->17578081K(53976576K), 0.5108841 secs] [Times: user=7.67 sys=13.68, real=0.51 secs] 
2021-03-30T19:23:27.367+0200: 641.022: [GC (Allocation Failure) [PSYoungGen: 35539124K->3546751K(41440256K)] 45531233K->16687659K(54589952K), 0.5471795 secs] [Times: user=4.18 sys=15.27, real=0.55 secs] 
2021-03-30T19:23:27.914+0200: 641.570: [Full GC (Ergonomics) [PSYoungGen: 3546751K->0K(41440256K)] [ParOldGen: 13140907K->6475606K(13662720K)] 16687659K->6475606K(55102976K), [Metaspace: 51271K->51271K(55296K)], 0.6297837 secs] [Times: user=11.60 sys=4.51, real=0.62 secs] 
2021-03-30T19:24:10.754+0200: 684.409: [GC (Allocation Failure) [PSYoungGen: 27953152K->3232804K(44360192K)] 34428758K->9708410K(58022912K), 0.1388200 secs] [Times: user=4.51 sys=0.08, real=0.14 secs] 
2021-03-30T19:25:02.896+0200: 736.552: [GC (Allocation Failure) [PSYoungGen: 35230756K->3695656K(44720128K)] 41706362K->11030537K(58382848K), 0.1696957 secs] [Times: user=6.31 sys=0.00, real=0.17 secs] 
2021-03-30T19:25:33.079+0200: 766.735: [GC (Allocation Failure) [PSYoungGen: 35693608K->4851985K(47023616K)] 43028489K->13719693K(60686336K), 0.4953600 secs] [Times: user=3.76 sys=16.54, real=0.50 secs] 
2021-03-30T19:26:24.507+0200: 818.163: [GC (Allocation Failure) [PSYoungGen: 40838417K->3380339K(47576576K)] 49706125K->12601039K(61239296K), 0.1332429 secs] [Times: user=4.97 sys=0.01, real=0.13 secs] 
2021-03-30T19:27:10.363+0200: 864.019: [GC (Allocation Failure) [PSYoungGen: 39366771K->5446210K(48288256K)] 48587471K->14821272K(61950976K), 0.3609413 secs] [Times: user=5.85 sys=9.01, real=0.37 secs] 
2021-03-30T19:28:08.771+0200: 922.427: [GC (Allocation Failure) [PSYoungGen: 43580994K->3819081K(48929280K)] 52956056K->13215557K(62592000K), 0.1399338 secs] [Times: user=4.69 sys=0.01, real=0.14 secs] 
2021-03-30T19:28:51.862+0200: 965.517: [GC (Allocation Failure) [PSYoungGen: 41953865K->5123796K(48987136K)] 51350341K->14520272K(62649856K), 0.2251462 secs] [Times: user=6.50 sys=2.47, real=0.23 secs] 
2021-03-30T19:29:36.752+0200: 1010.407: [GC (Allocation Failure) [PSYoungGen: 44878036K->5514548K(49706496K)] 54274512K->14911024K(63369216K), 0.1783871 secs] [Times: user=7.03 sys=0.06, real=0.18 secs] 
2021-03-30T19:30:14.829+0200: 1048.484: [GC (Allocation Failure) [PSYoungGen: 45268788K->7664358K(50227200K)] 54665264K->17060834K(63889920K), 0.5474879 secs] [Times: user=6.84 sys=16.14, real=0.55 secs] 
2021-03-30T19:31:03.410+0200: 1097.066: [GC (Allocation Failure) [PSYoungGen: 48216294K->6106170K(50756608K)] 57612770K->15502646K(64419328K), 0.1840395 secs] [Times: user=7.38 sys=0.00, real=0.19 secs] 
2021-03-30T19:32:08.986+0200: 1162.642: [GC (Allocation Failure) [PSYoungGen: 46658106K->1727956K(50652160K)] 56054582K->11124432K(64314880K), 0.0939935 secs] [Times: user=2.96 sys=0.00, real=0.09 secs] 
2021-03-30T19:33:08.811+0200: 1222.467: [GC (Allocation Failure) [PSYoungGen: 42348500K->5881348K(46502400K)] 51744976K->15277824K(60165120K), 0.1783602 secs] [Times: user=6.96 sys=0.11, real=0.18 secs] 
2021-03-30T19:34:07.108+0200: 1280.763: [GC (Allocation Failure) [PSYoungGen: 46501892K->3025978K(50899456K)] 55898368K->12422454K(64562176K), 0.1206577 secs] [Times: user=4.02 sys=0.00, real=0.12 secs] 
2021-03-30T19:35:05.756+0200: 1339.412: [GC (Allocation Failure) [PSYoungGen: 43934778K->4426973K(45336064K)] 53331254K->13823449K(58998784K), 0.1524000 secs] [Times: user=5.44 sys=0.00, real=0.15 secs] 
2021-03-30T19:35:55.119+0200: 1388.775: [GC (Allocation Failure) [PSYoungGen: 45335773K->4968107K(50942976K)] 54732249K->14364583K(64605696K), 0.1801244 secs] [Times: user=6.91 sys=0.00, real=0.18 secs] 
2021-03-30T19:36:46.199+0200: 1439.854: [GC (Allocation Failure) [PSYoungGen: 46497963K->6041234K(50542592K)] 55894439K->15437710K(64205312K), 0.1907007 secs] [Times: user=7.44 sys=0.21, real=0.19 secs] 
2021-03-30T19:37:30.655+0200: 1484.311: [GC (Allocation Failure) [PSYoungGen: 47571090K->6359064K(51466240K)] 56967566K->15755540K(65128960K), 0.2126365 secs] [Times: user=8.48 sys=0.04, real=0.21 secs] 
2021-03-30T19:38:56.794+0200: 1570.450: [GC (Allocation Failure) [PSYoungGen: 48780824K->2394247K(51579904K)] 58177300K->11790723K(65242624K), 0.1114236 secs] [Times: user=3.01 sys=0.00, real=0.11 secs] 
2021-03-30T19:39:56.775+0200: 1630.431: [GC (Allocation Failure) [PSYoungGen: 44816007K->4412910K(51111936K)] 54212483K->13809386K(64774656K), 0.1544638 secs] [Times: user=5.84 sys=0.00, real=0.15 secs] 
2021-03-30T19:40:46.892+0200: 1680.548: [GC (Allocation Failure) [PSYoungGen: 47007726K->5653301K(51432448K)] 56404202K->15049777K(65095168K), 0.1811187 secs] [Times: user=6.97 sys=0.00, real=0.19 secs] 
2021-03-30T19:41:33.613+0200: 1727.268: [GC (Allocation Failure) [PSYoungGen: 48248117K->5941833K(52061696K)] 57644593K->15338781K(65724416K), 0.2029484 secs] [Times: user=8.04 sys=0.00, real=0.20 secs] 
2021-03-30T19:42:19.503+0200: 1773.159: [GC (Allocation Failure) [PSYoungGen: 49309257K->6421580K(49789440K)] 58706205K->15818985K(63452160K), 0.2068606 secs] [Times: user=8.20 sys=0.16, real=0.21 secs] 
2021-03-30T19:42:54.054+0200: 1807.709: [GC (Allocation Failure) [PSYoungGen: 49789004K->8923126K(49823232K)] 59186409K->18536480K(63485952K), 0.4509094 secs] [Times: user=9.19 sys=9.52, real=0.45 secs] 
2021-03-30T19:43:24.719+0200: 1838.375: [GC (Allocation Failure) [PSYoungGen: 49823222K->10030568K(50930688K)] 59436576K->19848858K(64593408K), 0.2902911 secs] [Times: user=11.60 sys=0.11, real=0.29 secs] 
2021-03-30T19:44:24.505+0200: 1898.161: [GC (Allocation Failure) [PSYoungGen: 50930664K->3938590K(48711680K)] 60748954K->13757664K(62374400K), 0.1376046 secs] [Times: user=5.06 sys=0.00, real=0.13 secs] 
2021-03-30T19:45:07.003+0200: 1940.658: [GC (Allocation Failure) [PSYoungGen: 42619678K->6420372K(49821184K)] 52438752K->16239446K(63483904K), 0.1813754 secs] [Times: user=6.88 sys=0.00, real=0.19 secs] 
2021-03-30T19:45:50.059+0200: 1983.714: [GC (Allocation Failure) [PSYoungGen: 45101460K->6195888K(48780288K)] 54920534K->16014962K(62443008K), 0.2331445 secs] [Times: user=8.07 sys=0.03, real=0.23 secs] 
2021-03-30T19:46:34.750+0200: 2028.406: [GC (Allocation Failure) [PSYoungGen: 45177520K->5369904K(49451008K)] 54996594K->15189522K(63113728K), 0.1731186 secs] [Times: user=6.68 sys=0.00, real=0.17 secs] 
2021-03-30T19:47:28.315+0200: 2081.970: [GC (Allocation Failure) [PSYoungGen: 44351536K->4100864K(49928704K)] 54171154K->13921458K(63591424K), 0.1565346 secs] [Times: user=5.70 sys=0.08, real=0.15 secs] 
2021-03-30T19:48:11.474+0200: 2125.129: [GC (Allocation Failure) [PSYoungGen: 44495104K->5540765K(50359808K)] 54315698K->15367663K(64022528K), 0.1754769 secs] [Times: user=6.91 sys=0.01, real=0.17 secs] 
2021-03-30T19:48:57.448+0200: 2171.104: [GC (Allocation Failure) [PSYoungGen: 45935005K->5803942K(50309632K)] 55761903K->15639086K(63972352K), 0.2078798 secs] [Times: user=8.25 sys=0.01, real=0.21 secs] 
2021-03-30T19:49:44.287+0200: 2217.943: [GC (Allocation Failure) [PSYoungGen: 47244710K->6063065K(50662912K)] 57079854K->15898696K(64325632K), 0.1985453 secs] [Times: user=7.61 sys=0.00, real=0.20 secs] 
2021-03-30T19:50:39.975+0200: 2273.630: [GC (Allocation Failure) [PSYoungGen: 47503833K->4441944K(51360256K)] 57339464K->14278128K(65022976K), 0.1696974 secs] [Times: user=6.14 sys=0.00, real=0.17 secs] 
2021-03-30T19:51:30.439+0200: 2324.094: [GC (Allocation Failure) [PSYoungGen: 47166808K->5366282K(51622400K)] 57002992K->15202945K(65285120K), 0.1808148 secs] [Times: user=6.83 sys=0.07, real=0.18 secs] 
2021-03-30T19:52:15.093+0200: 2368.748: [GC (Allocation Failure) [PSYoungGen: 48091146K->6477245K(51993600K)] 57927809K->16314364K(65656320K), 0.2060478 secs] [Times: user=8.21 sys=0.00, real=0.20 secs] 
2021-03-30T19:53:03.167+0200: 2416.822: [GC (Allocation Failure) [PSYoungGen: 49869245K->6483643K(52029952K)] 59706364K->16321163K(65692672K), 0.1935784 secs] [Times: user=7.75 sys=0.00, real=0.19 secs] 
2021-03-30T19:54:07.062+0200: 2480.717: [GC (Allocation Failure) [PSYoungGen: 49875643K->4604708K(52132864K)] 59713163K->14442683K(65795584K), 0.1541764 secs] [Times: user=5.91 sys=0.07, real=0.16 secs] 
2021-03-30T19:54:58.290+0200: 2531.945: [GC (Allocation Failure) [PSYoungGen: 48279844K->6311790K(52222976K)] 58117819K->16150246K(65885696K), 0.1852340 secs] [Times: user=7.32 sys=0.00, real=0.19 secs] 
2021-03-30T19:55:43.301+0200: 2576.956: [GC (Allocation Failure) [PSYoungGen: 49986926K->7426762K(51727872K)] 59825382K->17265682K(65390592K), 0.2187177 secs] [Times: user=8.76 sys=0.00, real=0.22 secs] 
2021-03-30T19:56:32.972+0200: 2626.628: [GC (Allocation Failure) [PSYoungGen: 50643146K->4569357K(52088832K)] 60482066K->14409099K(65751552K), 0.1524149 secs] [Times: user=5.87 sys=0.00, real=0.16 secs] 
2021-03-30T19:57:47.018+0200: 2700.673: [GC (Allocation Failure) [PSYoungGen: 47785741K->2276710K(48496128K)] 57625483K->12117758K(62158848K), 0.1451246 secs] [Times: user=4.80 sys=0.02, real=0.14 secs] 
2021-03-30T19:58:44.662+0200: 2758.317: [GC (Allocation Failure) [PSYoungGen: 43536742K->5040689K(44441600K)] 53377790K->14882558K(58104320K), 0.2717188 secs] [Times: user=6.50 sys=0.10, real=0.28 secs] 
2021-03-30T19:59:27.732+0200: 2801.388: [GC (Allocation Failure) [PSYoungGen: 44441137K->6552048K(44834816K)] 54283006K->16394365K(58497536K), 0.2584114 secs] [Times: user=8.42 sys=0.04, real=0.26 secs] 
2021-03-30T20:00:08.664+0200: 2842.319: [GC (Allocation Failure) [PSYoungGen: 44185072K->6562924K(42516480K)] 54027389K->16405657K(56179200K), 0.2466719 secs] [Times: user=7.65 sys=0.05, real=0.25 secs] 
2021-03-30T20:00:58.613+0200: 2892.269: [GC (Allocation Failure) [PSYoungGen: 42516076K->3896151K(41592320K)] 52358809K->13871793K(55255040K), 0.1973738 secs] [Times: user=5.50 sys=0.05, real=0.19 secs] 
2021-03-30T20:01:32.222+0200: 2925.878: [GC (Allocation Failure) [PSYoungGen: 38252375K->6525431K(39363584K)] 48228017K->16501489K(53026304K), 0.2348215 secs] [Times: user=7.18 sys=0.05, real=0.24 secs] 
2021-03-30T20:02:04.983+0200: 2958.639: [GC (Allocation Failure) [PSYoungGen: 39363575K->6882588K(41624576K)] 49339633K->16859085K(55287296K), 0.1984722 secs] [Times: user=7.91 sys=0.01, real=0.20 secs] 
2021-03-30T20:02:38.724+0200: 2992.379: [GC (Allocation Failure) [PSYoungGen: 39560476K->7043951K(41784832K)] 49536973K->17020929K(55447552K), 0.2029181 secs] [Times: user=8.27 sys=0.00, real=0.21 secs] 
2021-03-30T20:03:10.102+0200: 3023.758: [GC (Allocation Failure) [PSYoungGen: 39721839K->7952135K(43667968K)] 49698817K->17929592K(57330688K), 0.3710597 secs] [Times: user=8.82 sys=6.30, real=0.38 secs] 
2021-03-30T20:03:47.208+0200: 3060.864: [GC (Allocation Failure) [PSYoungGen: 42345735K->7008317K(44117504K)] 52323192K->16986198K(57780224K), 0.2034854 secs] [Times: user=8.20 sys=0.00, real=0.20 secs] 
2021-03-30T20:05:01.732+0200: 3135.387: [GC (Allocation Failure) [PSYoungGen: 41401917K->1269464K(46322176K)] 51379798K->11247762K(59984896K), 0.1155803 secs] [Times: user=3.39 sys=0.01, real=0.12 secs] 
2021-03-30T20:06:30.497+0200: 3224.152: [GC (Allocation Failure) [PSYoungGen: 37870808K->1997758K(36969984K)] 47849106K->11976520K(50632704K), 0.0981569 secs] [Times: user=3.18 sys=0.00, real=0.10 secs] 
2021-03-30T20:07:36.812+0200: 3290.467: [GC (Allocation Failure) [PSYoungGen: 36969918K->2832578K(42031616K)] 46948680K->12811819K(55694336K), 0.1004830 secs] [Times: user=3.62 sys=0.00, real=0.11 secs] 
2021-03-30T20:08:16.097+0200: 3329.752: [GC (Allocation Failure) [PSYoungGen: 36256450K->5399394K(37351424K)] 46235691K->15378996K(51014144K), 0.1784002 secs] [Times: user=6.63 sys=0.02, real=0.18 secs] 
2021-03-30T20:08:49.782+0200: 3363.438: [GC (Allocation Failure) [PSYoungGen: 37351266K->6252352K(38940160K)] 47330868K->16232441K(52602880K), 0.2373298 secs] [Times: user=7.50 sys=0.04, real=0.24 secs] 
2021-03-30T20:09:21.834+0200: 3395.490: [GC (Allocation Failure) [PSYoungGen: 36804416K->6824551K(36046336K)] 46784505K->16805169K(49709056K), 0.2612358 secs] [Times: user=7.94 sys=0.08, real=0.26 secs] 
2021-03-30T20:09:50.314+0200: 3423.970: [GC (Allocation Failure) [PSYoungGen: 36045927K->7526542K(38848000K)] 46026545K->17507591K(52510720K), 0.2349676 secs] [Times: user=9.39 sys=0.03, real=0.23 secs] 
2021-03-30T20:10:15.878+0200: 3449.533: [GC (Allocation Failure) [PSYoungGen: 36402830K->7549813K(39193088K)] 46383879K->17531270K(52855808K), 0.2317680 secs] [Times: user=9.37 sys=0.00, real=0.23 secs] 
