Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
2021-03-30T19:13:34.548+0200: 48.202: [GC (Allocation Failure) [PSYoungGen: 5751109K->501376K(6372352K)] 8126465K->3184918K(9575424K), 0.0559783 secs] [Times: user=0.82 sys=1.30, real=0.05 secs] 
2021-03-30T19:13:34.604+0200: 48.258: [Full GC (Ergonomics) [PSYoungGen: 501376K->0K(6372352K)] [ParOldGen: 2683541K->3118955K(5294080K)] 3184918K->3118955K(11666432K), [Metaspace: 46658K->46658K(49152K)], 0.2111318 secs] [Times: user=4.15 sys=1.86, real=0.21 secs] 
2021-03-30T19:13:44.403+0200: 58.057: [GC (Allocation Failure) [PSYoungGen: 5390336K->569414K(7972352K)] 8509291K->3688370K(13266432K), 0.0677481 secs] [Times: user=0.68 sys=1.52, real=0.07 secs] 
2021-03-30T19:13:57.674+0200: 71.327: [GC (Allocation Failure) [PSYoungGen: 7592518K->716922K(7998464K)] 10711474K->4338399K(13292544K), 0.1158577 secs] [Times: user=0.81 sys=3.79, real=0.12 secs] 
2021-03-30T19:14:09.900+0200: 83.554: [GC (Allocation Failure) [PSYoungGen: 7740026K->1032688K(9824768K)] 11361503K->4805376K(15118848K), 0.1433903 secs] [Times: user=0.79 sys=4.94, real=0.14 secs] 
2021-03-30T19:14:24.428+0200: 98.082: [GC (Allocation Failure) [PSYoungGen: 9824752K->955621K(10040320K)] 13597440K->5649294K(15334400K), 0.1573314 secs] [Times: user=1.62 sys=4.45, real=0.15 secs] 
2021-03-30T19:14:24.585+0200: 98.239: [Full GC (Ergonomics) [PSYoungGen: 955621K->0K(10040320K)] [ParOldGen: 4693672K->2550051K(5313536K)] 5649294K->2550051K(15353856K), [Metaspace: 46905K->46905K(49152K)], 0.3342725 secs] [Times: user=6.10 sys=1.69, real=0.34 secs] 
2021-03-30T19:14:42.468+0200: 116.122: [GC (Allocation Failure) [PSYoungGen: 8792064K->725701K(11636224K)] 11342115K->3275761K(16949760K), 0.0896843 secs] [Times: user=0.70 sys=2.58, real=0.09 secs] 
2021-03-30T19:15:00.110+0200: 133.764: [GC (Allocation Failure) [PSYoungGen: 11060421K->1322473K(11657216K)] 13610481K->4196290K(16970752K), 0.1235107 secs] [Times: user=2.00 sys=2.95, real=0.12 secs] 
2021-03-30T19:15:11.189+0200: 144.842: [GC (Allocation Failure) [PSYoungGen: 11657193K->1644031K(12958720K)] 14531010K->5785855K(18272256K), 0.2353701 secs] [Times: user=2.71 sys=7.10, real=0.23 secs] 
2021-03-30T19:15:19.648+0200: 153.302: [GC (Allocation Failure) [PSYoungGen: 12958719K->2372578K(13687296K)] 17100543K->8168615K(19492864K), 0.2896593 secs] [Times: user=2.68 sys=5.97, real=0.29 secs] 
2021-03-30T19:15:19.938+0200: 153.592: [Full GC (Ergonomics) [PSYoungGen: 2372578K->0K(13687296K)] [ParOldGen: 5796036K->5461123K(9236480K)] 8168615K->5461123K(22923776K), [Metaspace: 47381K->47381K(51200K)], 0.4665678 secs] [Times: user=10.18 sys=2.19, real=0.46 secs] 
2021-03-30T19:15:27.050+0200: 160.704: [GC (Allocation Failure) [PSYoungGen: 11314688K->1648801K(17264640K)] 16775811K->7109924K(26501120K), 0.1844327 secs] [Times: user=0.66 sys=6.79, real=0.18 secs] 
2021-03-30T19:15:36.558+0200: 170.211: [GC (Allocation Failure) [PSYoungGen: 15532705K->2225318K(17208320K)] 20993828K->9138631K(26444800K), 0.2185406 secs] [Times: user=2.49 sys=6.01, real=0.22 secs] 
2021-03-30T19:15:56.868+0200: 190.521: [GC (Allocation Failure) [PSYoungGen: 16109222K->1369854K(20158976K)] 23022535K->10249375K(29395456K), 0.3006805 secs] [Times: user=1.93 sys=10.02, real=0.31 secs] 
2021-03-30T19:15:57.168+0200: 190.822: [Full GC (Ergonomics) [PSYoungGen: 1369854K->0K(20158976K)] [ParOldGen: 8879520K->7277198K(11964416K)] 10249375K->7277198K(32123392K), [Metaspace: 47487K->47487K(51200K)], 0.5620165 secs] [Times: user=11.46 sys=4.70, real=0.56 secs] 
2021-03-30T19:16:22.826+0200: 216.479: [GC (Allocation Failure) [PSYoungGen: 17195520K->1779371K(20463104K)] 24472718K->9056577K(32427520K), 0.0845186 secs] [Times: user=2.53 sys=0.50, real=0.09 secs] 
2021-03-30T19:16:46.061+0200: 239.715: [GC (Allocation Failure) [PSYoungGen: 18974891K->1626786K(22702592K)] 26252097K->10368157K(34667008K), 0.2180943 secs] [Times: user=2.64 sys=6.35, real=0.22 secs] 
2021-03-30T19:17:04.851+0200: 258.505: [GC (Allocation Failure) [PSYoungGen: 21424802K->3133433K(22931456K)] 30166173K->13666219K(34895872K), 0.3516071 secs] [Times: user=3.49 sys=11.01, real=0.35 secs] 
2021-03-30T19:17:05.203+0200: 258.857: [Full GC (Ergonomics) [PSYoungGen: 3133433K->0K(22931456K)] [ParOldGen: 10532785K->5165022K(10574336K)] 13666219K->5165022K(33505792K), [Metaspace: 47517K->47517K(51200K)], 0.5059541 secs] [Times: user=10.55 sys=2.11, real=0.51 secs] 
2021-03-30T19:17:34.812+0200: 288.466: [GC (Allocation Failure) [PSYoungGen: 19798016K->2797376K(27043328K)] 24963038K->7962398K(37617664K), 0.3488163 secs] [Times: user=1.11 sys=13.40, real=0.35 secs] 
2021-03-30T19:18:05.724+0200: 319.377: [GC (Allocation Failure) [PSYoungGen: 25582912K->3559364K(27173888K)] 30747934K->10551528K(37748224K), 0.3069851 secs] [Times: user=4.82 sys=7.30, real=0.31 secs] 
2021-03-30T19:19:09.977+0200: 383.631: [GC (Allocation Failure) [PSYoungGen: 26344900K->1508925K(30007296K)] 33337064K->8786361K(40581632K), 0.1836702 secs] [Times: user=1.50 sys=5.66, real=0.18 secs] 
2021-03-30T19:20:01.451+0200: 435.105: [GC (Allocation Failure) [PSYoungGen: 27487293K->2292755K(30557696K)] 34764729K->9570192K(41132032K), 0.1564785 secs] [Times: user=3.14 sys=2.60, real=0.16 secs] 
2021-03-30T19:20:42.841+0200: 476.495: [GC (Allocation Failure) [PSYoungGen: 28271123K->2937721K(33574912K)] 35548560K->10215157K(44149248K), 0.3337070 secs] [Times: user=2.94 sys=10.78, real=0.33 secs] 
2021-03-30T19:21:22.405+0200: 516.059: [GC (Allocation Failure) [PSYoungGen: 32080249K->4530673K(33673216K)] 39357685K->11884939K(44247552K), 0.3383401 secs] [Times: user=4.80 sys=8.66, real=0.34 secs] 
2021-03-30T19:21:55.645+0200: 549.299: [GC (Allocation Failure) [PSYoungGen: 33673201K->5212132K(36381696K)] 41027467K->13174322K(46956032K), 0.6371696 secs] [Times: user=3.66 sys=23.11, real=0.64 secs] 
2021-03-30T19:22:31.339+0200: 584.993: [GC (Allocation Failure) [PSYoungGen: 36381668K->5700361K(37376000K)] 44343858K->13702039K(47950336K), 0.2090145 secs] [Times: user=7.00 sys=1.29, real=0.21 secs] 
2021-03-30T19:23:06.567+0200: 620.221: [GC (Allocation Failure) [PSYoungGen: 36869897K->6083234K(40898048K)] 44871575K->14084912K(51472384K), 0.6499353 secs] [Times: user=2.98 sys=24.34, real=0.66 secs] 
2021-03-30T19:23:44.106+0200: 657.760: [GC (Allocation Failure) [PSYoungGen: 40017570K->6194294K(41640960K)] 48019248K->14196308K(52215296K), 0.2404089 secs] [Times: user=7.35 sys=2.04, real=0.24 secs] 
2021-03-30T19:24:15.479+0200: 689.133: [GC (Allocation Failure) [PSYoungGen: 40128630K->7271835K(45353472K)] 48130644K->15273849K(55927808K), 0.6863349 secs] [Times: user=4.02 sys=24.23, real=0.68 secs] 
2021-03-30T19:24:43.414+0200: 717.067: [GC (Allocation Failure) [PSYoungGen: 44292507K->9199737K(46238208K)] 52294521K->17230679K(56812544K), 0.2716363 secs] [Times: user=10.68 sys=0.10, real=0.27 secs] 
2021-03-30T19:25:37.671+0200: 771.325: [GC (Allocation Failure) [PSYoungGen: 46220409K->3390630K(50759680K)] 54251351K->11421988K(61334016K), 0.1400190 secs] [Times: user=4.23 sys=0.96, real=0.14 secs] 
2021-03-30T19:26:24.999+0200: 818.653: [GC (Allocation Failure) [PSYoungGen: 43522726K->5604603K(45736960K)] 51554084K->13635961K(56311296K), 0.1707862 secs] [Times: user=6.76 sys=0.01, real=0.17 secs] 
2021-03-30T19:27:24.465+0200: 878.119: [GC (Allocation Failure) [PSYoungGen: 45736699K->3750265K(50632704K)] 53768057K->11781623K(61207040K), 0.1560844 secs] [Times: user=4.93 sys=0.96, real=0.16 secs] 
2021-03-30T19:28:10.666+0200: 924.319: [GC (Allocation Failure) [PSYoungGen: 44310905K->6396168K(50204160K)] 52342263K->14427525K(60778496K), 0.1855499 secs] [Times: user=6.92 sys=0.06, real=0.19 secs] 
2021-03-30T19:28:55.383+0200: 969.037: [GC (Allocation Failure) [PSYoungGen: 46956808K->5733472K(51205120K)] 54988165K->13764830K(61779456K), 0.4137071 secs] [Times: user=4.65 sys=12.44, real=0.42 secs] 
2021-03-30T19:29:54.728+0200: 1028.382: [GC (Allocation Failure) [PSYoungGen: 47091808K->3634323K(44993024K)] 55123166K->11665680K(55567360K), 0.1318973 secs] [Times: user=4.40 sys=0.00, real=0.13 secs] 
2021-03-30T19:30:43.014+0200: 1076.668: [GC (Allocation Failure) [PSYoungGen: 44992659K->5780711K(50854912K)] 53024016K->13812069K(61429248K), 0.1921949 secs] [Times: user=7.66 sys=0.00, real=0.19 secs] 
2021-03-30T19:31:24.387+0200: 1118.041: [GC (Allocation Failure) [PSYoungGen: 47210727K->6709326K(50802176K)] 55242085K->14740684K(61376512K), 0.2151245 secs] [Times: user=8.64 sys=0.02, real=0.22 secs] 
2021-03-30T19:32:07.038+0200: 1160.691: [GC (Allocation Failure) [PSYoungGen: 48139342K->6936022K(50785792K)] 56170700K->14967380K(61360128K), 0.3494916 secs] [Times: user=8.42 sys=6.13, real=0.34 secs] 
2021-03-30T19:33:43.168+0200: 1256.821: [GC (Allocation Failure) [PSYoungGen: 48084950K->3198722K(42425344K)] 56116308K->11230080K(52999680K), 0.1093277 secs] [Times: user=3.74 sys=0.00, real=0.12 secs] 
2021-03-30T19:34:36.619+0200: 1310.272: [GC (Allocation Failure) [PSYoungGen: 42425090K->5999785K(45149696K)] 50456448K->14031143K(55724032K), 0.2326490 secs] [Times: user=7.33 sys=0.05, real=0.23 secs] 
2021-03-30T19:35:26.485+0200: 1360.139: [GC (Allocation Failure) [PSYoungGen: 43399337K->4751053K(40415232K)] 51430695K->12782411K(50989568K), 0.2397356 secs] [Times: user=5.80 sys=0.09, real=0.24 secs] 
2021-03-30T19:36:26.403+0200: 1420.057: [GC (Allocation Failure) [PSYoungGen: 40414925K->4510166K(40947712K)] 48446283K->12541524K(51522048K), 0.2197501 secs] [Times: user=5.41 sys=0.10, real=0.22 secs] 
2021-03-30T19:36:57.955+0200: 1451.609: [GC (Allocation Failure) [PSYoungGen: 38524374K->7296188K(39743488K)] 46555732K->15327962K(50317824K), 0.2320210 secs] [Times: user=8.55 sys=0.02, real=0.24 secs] 
2021-03-30T19:37:38.651+0200: 1492.305: [GC (Allocation Failure) [PSYoungGen: 39743164K->5357519K(38133248K)] 47774938K->13389677K(48707584K), 0.2436724 secs] [Times: user=6.66 sys=0.08, real=0.24 secs] 
2021-03-30T19:38:11.355+0200: 1525.008: [GC (Allocation Failure) [PSYoungGen: 36315087K->6092135K(35634176K)] 44347245K->14124773K(46208512K), 0.2521215 secs] [Times: user=7.35 sys=0.18, real=0.25 secs] 
2021-03-30T19:38:47.802+0200: 1561.456: [GC (Allocation Failure) [PSYoungGen: 35634023K->5408873K(35163648K)] 43666661K->13442023K(45737984K), 0.2513858 secs] [Times: user=7.61 sys=0.06, real=0.25 secs] 
2021-03-30T19:39:16.712+0200: 1590.365: [GC (GCLocker Initiated GC) [PSYoungGen: 33605225K->6578627K(33496576K)] 41638624K->14612458K(44070912K), 0.2608256 secs] [Times: user=9.30 sys=0.06, real=0.26 secs] 
2021-03-30T19:39:40.959+0200: 1614.613: [GC (GCLocker Initiated GC) [PSYoungGen: 33496515K->7405415K(35299328K)] 41530496K->15439876K(45873664K), 0.2221270 secs] [Times: user=8.97 sys=0.01, real=0.22 secs] 
2021-03-30T19:40:16.847+0200: 1650.501: [GC (Allocation Failure) [PSYoungGen: 33929575K->4938582K(30266880K)] 41964041K->12973528K(40841216K), 0.2009047 secs] [Times: user=6.41 sys=0.04, real=0.21 secs] 
2021-03-30T19:40:53.388+0200: 1687.042: [GC (Allocation Failure) [PSYoungGen: 30266710K->4062442K(31828480K)] 38301656K->12097924K(42402816K), 0.1694084 secs] [Times: user=4.96 sys=0.05, real=0.17 secs] 
2021-03-30T19:41:28.845+0200: 1722.499: [GC (Allocation Failure) [PSYoungGen: 28253930K->4022939K(27134464K)] 36289412K->12058853K(37708800K), 0.1717615 secs] [Times: user=5.15 sys=0.04, real=0.18 secs] 
2021-03-30T19:42:02.406+0200: 1756.060: [GC (Allocation Failure) [PSYoungGen: 27134107K->4022353K(29537280K)] 35170021K->12191128K(40111616K), 0.1821884 secs] [Times: user=5.18 sys=0.06, real=0.19 secs] 
2021-03-30T19:42:31.766+0200: 1785.419: [GC (Allocation Failure) [PSYoungGen: 26106449K->4492725K(25600512K)] 34275224K->12661923K(36174848K), 0.2001329 secs] [Times: user=5.28 sys=0.09, real=0.20 secs] 
2021-03-30T19:42:52.556+0200: 1806.210: [GC (Allocation Failure) [PSYoungGen: 25600437K->6362742K(27916800K)] 33769635K->14532581K(38491136K), 0.2159241 secs] [Times: user=8.09 sys=0.02, real=0.21 secs] 
2021-03-30T19:43:12.175+0200: 1825.829: [GC (Allocation Failure) [PSYoungGen: 26542198K->8079243K(28702208K)] 34712037K->16249489K(39276544K), 0.2462695 secs] [Times: user=9.77 sys=0.08, real=0.25 secs] 
2021-03-30T19:43:30.026+0200: 1843.680: [GC (Allocation Failure) [PSYoungGen: 28258699K->8378473K(30310400K)] 36428945K->16549279K(40884736K), 0.4221634 secs] [Times: user=8.32 sys=9.19, real=0.43 secs] 
2021-03-30T19:44:02.782+0200: 1876.436: [GC (Allocation Failure) [PSYoungGen: 29437033K->4413637K(31000064K)] 37607839K->12585444K(41574400K), 0.1585722 secs] [Times: user=5.87 sys=0.02, real=0.16 secs] 
2021-03-30T19:44:30.457+0200: 1904.111: [GC (Allocation Failure) [PSYoungGen: 25472197K->4630637K(32053760K)] 33644004K->12802868K(42628096K), 0.1748494 secs] [Times: user=6.97 sys=0.09, real=0.17 secs] 
2021-03-30T19:44:56.907+0200: 1930.561: [GC (Allocation Failure) [PSYoungGen: 27497069K->5583315K(32389120K)] 35669300K->13755994K(42963456K), 0.1791483 secs] [Times: user=7.23 sys=0.00, real=0.18 secs] 
2021-03-30T19:45:23.420+0200: 1957.074: [GC (Allocation Failure) [PSYoungGen: 28449747K->5634970K(33165824K)] 36622426K->13808113K(43740160K), 0.1941128 secs] [Times: user=7.05 sys=0.65, real=0.19 secs] 
2021-03-30T19:45:52.355+0200: 1986.009: [GC (GCLocker Initiated GC) [PSYoungGen: 30355866K->5434437K(33530880K)] 38529110K->13610449K(44105216K), 0.1642326 secs] [Times: user=6.58 sys=0.00, real=0.17 secs] 
2021-03-30T19:46:22.967+0200: 2016.620: [GC (Allocation Failure) [PSYoungGen: 30155333K->5090248K(34648064K)] 38331381K->13272305K(45222400K), 0.2091658 secs] [Times: user=5.57 sys=2.92, real=0.22 secs] 
2021-03-30T19:46:52.806+0200: 2046.460: [GC (Allocation Failure) [PSYoungGen: 31694792K->5827999K(31233024K)] 39876849K->14010872K(41807360K), 0.1768266 secs] [Times: user=7.20 sys=0.00, real=0.18 secs] 
2021-03-30T19:47:22.248+0200: 2075.901: [GC (Allocation Failure) [PSYoungGen: 31232927K->6379354K(31360512K)] 39415800K->14562715K(41934848K), 0.1993282 secs] [Times: user=7.97 sys=0.06, real=0.19 secs] 
2021-03-30T19:47:52.390+0200: 2106.044: [GC (Allocation Failure) [PSYoungGen: 30644058K->5323745K(28504576K)] 38827419K->13507522K(39078912K), 0.2011917 secs] [Times: user=6.36 sys=0.03, real=0.20 secs] 
2021-03-30T19:48:25.026+0200: 2138.679: [GC (Allocation Failure) [PSYoungGen: 28504545K->3491402K(29332480K)] 36688322K->11675491K(39906816K), 0.1498435 secs] [Times: user=4.81 sys=0.03, real=0.15 secs] 
2021-03-30T19:48:58.468+0200: 2172.122: [GC (Allocation Failure) [PSYoungGen: 25641546K->3438483K(24609280K)] 33825635K->11622940K(35183616K), 0.1515023 secs] [Times: user=4.73 sys=0.03, real=0.15 secs] 
2021-03-30T19:49:29.077+0200: 2202.731: [GC (Allocation Failure) [PSYoungGen: 24609171K->3424195K(27467776K)] 32793628K->11609068K(38042112K), 0.1493883 secs] [Times: user=4.55 sys=0.03, real=0.14 secs] 
2021-03-30T19:49:55.516+0200: 2229.170: [GC (Allocation Failure) [PSYoungGen: 23663555K->3931055K(23285248K)] 31848428K->12116248K(33859584K), 0.1840024 secs] [Times: user=5.87 sys=0.04, real=0.18 secs] 
2021-03-30T19:50:15.734+0200: 2249.388: [GC (GCLocker Initiated GC) [PSYoungGen: 23285167K->5348428K(25401856K)] 31470509K->13534018K(35976192K), 0.2103560 secs] [Times: user=6.01 sys=0.04, real=0.21 secs] 
2021-03-30T19:50:35.167+0200: 2268.821: [GC (Allocation Failure) [PSYoungGen: 23860812K->7067040K(24778752K)] 32046770K->15253294K(35353088K), 0.2253331 secs] [Times: user=8.44 sys=0.00, real=0.23 secs] 
2021-03-30T19:50:51.021+0200: 2284.675: [GC (Allocation Failure) [PSYoungGen: 24778656K->7278580K(25617920K)] 32964910K->15465218K(36192256K), 0.2206162 secs] [Times: user=9.09 sys=0.09, real=0.22 secs] 
2021-03-30T19:51:08.951+0200: 2302.604: [GC (Allocation Failure) [PSYoungGen: 24526836K->7604090K(26081280K)] 32713474K->15791398K(36655616K), 0.2390714 secs] [Times: user=9.86 sys=0.04, real=0.24 secs] 
2021-03-30T19:51:23.110+0200: 2316.764: [GC (Allocation Failure) [PSYoungGen: 24852346K->8487272K(27441152K)] 33039654K->16675596K(38015488K), 0.4525111 secs] [Times: user=8.84 sys=10.18, real=0.45 secs] 
2021-03-30T19:51:38.795+0200: 2332.449: [GC (Allocation Failure) [PSYoungGen: 26615144K->8726154K(28139520K)] 34803468K->16915571K(38713856K), 0.2706464 secs] [Times: user=11.15 sys=0.00, real=0.27 secs] 
2021-03-30T19:52:06.566+0200: 2360.220: [GC (Allocation Failure) [PSYoungGen: 26854026K->5451983K(29909504K)] 35043443K->13642008K(40483840K), 0.1799300 secs] [Times: user=7.26 sys=0.05, real=0.18 secs] 
2021-03-30T19:52:37.403+0200: 2391.056: [GC (Allocation Failure) [PSYoungGen: 25507023K->3749472K(30379520K)] 33697048K->11940017K(40953856K), 0.1352522 secs] [Times: user=4.81 sys=0.00, real=0.14 secs] 
2021-03-30T19:53:09.182+0200: 2422.835: [GC (Allocation Failure) [PSYoungGen: 23804512K->3365770K(31887872K)] 31995057K->11556731K(42462208K), 0.1133512 secs] [Times: user=4.43 sys=0.00, real=0.11 secs] 
2021-03-30T19:53:28.936+0200: 2442.590: [GC (GCLocker Initiated GC) [PSYoungGen: 25179530K->5958473K(32094208K)] 33370525K->14149468K(42668544K), 0.1821726 secs] [Times: user=7.38 sys=0.02, real=0.18 secs] 
2021-03-30T19:53:45.057+0200: 2458.711: [GC (Allocation Failure) [PSYoungGen: 27772233K->8808213K(32923136K)] 35963231K->16999211K(43497472K), 0.7434125 secs] [Times: user=5.63 sys=25.83, real=0.74 secs] 
2021-03-30T19:54:03.801+0200: 2477.455: [GC (Allocation Failure) [PSYoungGen: 31789333K->10665181K(33663488K)] 39980331K->18856747K(44237824K), 0.3232606 secs] [Times: user=13.13 sys=0.03, real=0.32 secs] 
2021-03-30T19:54:28.419+0200: 2502.073: [GC (Allocation Failure) [PSYoungGen: 33646301K->7861004K(37698048K)] 41837867K->16056023K(48272384K), 0.4941013 secs] [Times: user=7.34 sys=13.32, real=0.49 secs] 
2021-03-30T19:55:13.476+0200: 2547.130: [GC (Allocation Failure) [PSYoungGen: 33625356K->3041574K(37691392K)] 41820375K->11236953K(48265728K), 0.1255972 secs] [Times: user=4.27 sys=0.00, real=0.12 secs] 
2021-03-30T19:55:52.660+0200: 2586.314: [GC (Allocation Failure) [PSYoungGen: 28805926K->3542689K(39790080K)] 37001305K->11738403K(50364416K), 0.1283759 secs] [Times: user=4.94 sys=0.00, real=0.13 secs] 
2021-03-30T19:56:28.766+0200: 2622.419: [GC (Allocation Failure) [PSYoungGen: 31858849K->5140189K(40187392K)] 40054563K->13336208K(50761728K), 0.1653025 secs] [Times: user=6.58 sys=0.00, real=0.17 secs] 
2021-03-30T19:57:00.765+0200: 2654.419: [GC (Allocation Failure) [PSYoungGen: 33456349K->6008514K(41492480K)] 41652368K->14204533K(52066816K), 0.4121753 secs] [Times: user=4.92 sys=12.22, real=0.42 secs] 
2021-03-30T19:57:41.114+0200: 2694.768: [GC (Allocation Failure) [PSYoungGen: 36992706K->5088421K(41897984K)] 45188725K->13284439K(52472320K), 0.1578514 secs] [Times: user=6.10 sys=0.00, real=0.16 secs] 
2021-03-30T19:58:21.454+0200: 2735.108: [GC (Allocation Failure) [PSYoungGen: 36072613K->4978553K(43251200K)] 44268631K->13174572K(53825536K), 0.2383728 secs] [Times: user=5.43 sys=4.28, real=0.24 secs] 
2021-03-30T19:59:00.545+0200: 2774.198: [GC (Allocation Failure) [PSYoungGen: 38483833K->5437184K(37400576K)] 46679852K->13633203K(47974912K), 0.1864891 secs] [Times: user=7.48 sys=0.00, real=0.19 secs] 
2021-03-30T19:59:41.014+0200: 2814.668: [GC (Allocation Failure) [PSYoungGen: 37400320K->5061952K(38237696K)] 45596339K->13257970K(48812032K), 0.1741503 secs] [Times: user=6.74 sys=0.05, real=0.18 secs] 
2021-03-30T20:00:13.208+0200: 2846.862: [GC (Allocation Failure) [PSYoungGen: 35559744K->6852450K(35957760K)] 43755762K->15048820K(46532096K), 0.2485216 secs] [Times: user=8.59 sys=0.03, real=0.25 secs] 
2021-03-30T20:00:48.889+0200: 2882.543: [GC (Allocation Failure) [PSYoungGen: 35957602K->4807587K(35589632K)] 44153972K->13004237K(46163968K), 0.2081297 secs] [Times: user=6.07 sys=0.06, real=0.21 secs] 
2021-03-30T20:01:27.074+0200: 2920.727: [GC (Allocation Failure) [PSYoungGen: 32589219K->4037443K(30561280K)] 40785869K->12234429K(41135616K), 0.1955755 secs] [Times: user=5.68 sys=0.06, real=0.20 secs] 
2021-03-30T20:02:02.547+0200: 2956.200: [GC (Allocation Failure) [PSYoungGen: 30561091K->4165278K(33091072K)] 38758077K->12362600K(43665408K), 0.2062625 secs] [Times: user=5.84 sys=0.10, real=0.21 secs] 
2021-03-30T20:02:36.588+0200: 2990.242: [GC (Allocation Failure) [PSYoungGen: 29492894K->4347485K(28538880K)] 37690216K->12545111K(39113216K), 0.1955043 secs] [Times: user=5.32 sys=0.05, real=0.19 secs] 
2021-03-30T20:03:08.549+0200: 3022.202: [GC (Allocation Failure) [PSYoungGen: 28538461K->4560614K(30447104K)] 36736087K->12758577K(41021440K), 0.2020986 secs] [Times: user=6.10 sys=0.11, real=0.20 secs] 
2021-03-30T20:03:38.512+0200: 3052.166: [GC (Allocation Failure) [PSYoungGen: 27671270K->4525325K(26609152K)] 35869233K->12723640K(37183488K), 0.1951132 secs] [Times: user=5.97 sys=0.04, real=0.19 secs] 
